^ру	172
^рф	3
^рх	1
^ры	65
^рь	3
^рэ	15
^рю	8
^ря	26
^с$	1
^са	412
^сб	56
^св	276
^сг	42
^сд	41
^се	375
^сё	3
^сж	16
^сз	1
^си	258
^ск	327
^сл	253
^см	174
^сн	92
^со	666
^сп	293
^ср	73
^сс	21
^ст	687
^су	250
^сф	16
^сх	28
^сц	15
^сч	28
^сш	6
^съ	23
^сы	45
^сь	4
^сэ	13
^сю	14
^ся	7
^т$	1
^та	270
^тб	3
^тв	44
^тг	1
^тд	1
^те	352
^тё	21
^тз	1
^ти	112
^тк	14
^тл	5
^тм	1
^тн	2
^то	294
^тп	3
^тр	424
^тс	4
^тт	1
^ту	134
^тц	1
^тч	1
^тщ	14
^ты	24
^ть	5
^тэ	10
^тю	25
^тя	48
^у$	1
^уа	6
^уб	63
^ув	92
^уг	87
^уд	123
^уе	10
^уж	26
^уз	39
^уи	21
^уй	6
^ук	82
^ул	68
^ум	101
^ун	60
^уо	13
^уп	122
^ур	75
^ус	204
^ут	114
^уф	6
^ух	28
^уц	2
^уч	69
^уш	16
^ущ	8
^уэ	8
^ую	3
^уя	5
^ф$	1
^фа	146
^фб	1
^фв	1
^фг	1
^фе	112
^фё	2
^фз	2
^фи	160
^фй	1
^фк	2
^фл	57
^фм	1
^фн	1
^фо	146
^фп	2
^фр	109
^фс	6
^фт	3
^фу	51
^фф	1
^фы	2
^фь	3
^фэ	2
^фю	2
^х$	1
^ха	157
^хв	30
^хд	1
^хе	40
^хз	1
^хи	51
^хл	53
^хм	15
^хн	2
^хо	158
^хр	95
^хт	1
^ху	50
^хх	4
^хы	1
^хь	5
^хэ	11
^ц$	1
^ца	32
^цб	3
^цв	19
^цд	2
^це	124
^цз	6
^ци	64
^цк	2
^цн	1
^цо	5
^цп	1
^цр	2
^цс	2
^цу	5
^цы	8
^ць	1
^цэ	1
^цю	1
^ч$	1
^ча	92
^чв	1
^че	269
^чё	18
^чж	4
^чи	80
^чк	4
^чл	5
^чм	5
^чн	1
^чо	7
^чп	1
^чр	11
^чс	1
^чт	15
^чу	100
^чь	2
^чэ	1
^ш$	1
^ша	140
^шв	21
^ше	105
^шё	2
^ши	72
^шк	21
^шл	28
^шм	14
^шн	10
^шо	42
^шп	26
^шр	8
^шт	80
^шу	59
^шх	1
^шч	1
^шы	1
^шэ	1
^щ$	1
^ща	4
^ще	53
^щё	1
^щи	8
^що	1
^щу	11
^ъ$	1
^ы$	1
^ый	1
^ыт	1
^ь$	1
^э$	1
^эб	1
^эв	31
^эг	14
^эд	27
^эз	3
^эй	14
^эк	149
^эл	115
^эм	46
^эн	55
^эо	1
^эп	33
^эр	44
^эс	42
^эт	51
^эф	16
^эх	5
^эц	1
^эш	7
^эы	1
^ээ	3
^эя	1
^ю$	1
^юа	3
^юб	7
^юв	6
^юг	8
^юд	8
^юж	9
^юз	3
^юи	1
^юй	1
^юк	3
^юл	11
^юм	5
^юн	22
